,Name,Platform,Year,Genre,Publisher,Na Sales,Eu Sales,Jp Sales,Other Sales,Global Sales,Console Type,Console Manufacturer,Console Released,Console Discontinued,Consoles Sold
11106,The King of Fighters EX2: Howling Blood,Game Boy Advance,2002,Fighting,Marvelous Interactive,60000.0,20000.0,0.0,0.0,0.08,Handheld,Nintendo,2001,2010,81510000.0
11107,Disney's Meet the Robinsons,Xbox 360,2007,Action,Disney Interactive Studios,70000.0,0.0,0.0,10000.0,0.08,Home,Microsoft,2005,2016,84000000.0
11108,Cabela's North American Adventures,PlayStation 2,2010,Sports,Activision,40000.0,30000.0,0.0,10000.0,0.08,Home,Sony,2000,2013,155000000.0
11109,Akiba's Trip Plus,PlayStation Portable,2012,Adventure,Acquire,0.0,0.0,80000.0,0.0,0.08,Handheld,Sony,2004,2014,82000000.0
11110,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,Game Boy Advance,2004,Strategy,Nintendo,0.0,0.0,80000.0,0.0,0.08,Handheld,Nintendo,2001,2010,81510000.0
11111,NBA 10: The Inside,PlayStation Portable,2009,Sports,Sony Computer Entertainment,70000.0,0.0,0.0,10000.0,0.08,Handheld,Sony,2004,2014,82000000.0
11112,Jillian Michaels Fitness Ultimatum 2010,Nintendo DS,2009,Sports,Majesco Entertainment,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11113,Dragon Ball Z: Battle of Z,Xbox 360,2014,Fighting,Namco Bandai Games,10000.0,60000.0,0.0,10000.0,0.08,Home,Microsoft,2005,2016,84000000.0
11114,Famicom Mini: Star Soldier,Game Boy Advance,2004,Shooter,Nintendo,0.0,0.0,80000.0,0.0,0.08,Handheld,Nintendo,2001,2010,81510000.0
11115,Shonen Jump's One Piece: Pirates Carnival,GameCube,2005,Misc,Namco Bandai Games,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,2001,2007,21740000.0
11116,Kobitodzukan: Kobito no Fushigi - Jikken Set,Nintendo 3DS,2013,Misc,Nippon Columbia,0.0,0.0,80000.0,0.0,0.08,Handheld,Nintendo,2011,2020,75940000.0
11117,Goblin Commander: Unleash the Horde,Xbox,2003,Strategy,Jaleco,60000.0,20000.0,0.0,0.0,0.08,Home,Microsoft,2001,2009,24000000.0
11118,MXGP 2,PlayStation 4,2016,Racing,Milestone S.r.l.,20000.0,50000.0,0.0,10000.0,0.08,Home,Sony,2013,0,117200000.0
11119,Doraemon: Nobita and the Island of Miracles,Nintendo 3DS,2012,Action,FuRyu,0.0,0.0,80000.0,0.0,0.08,Handheld,Nintendo,2011,2020,75940000.0
11120,Puzzler Mind Gym 3D,Nintendo 3DS,2011,Puzzle,Ubisoft,70000.0,0.0,0.0,0.0,0.08,Handheld,Nintendo,2011,2020,75940000.0
11121,Lost Dimension,PlayStation 3,2014,Role-Playing,Nippon Ichi Software,50000.0,10000.0,0.0,10000.0,0.08,Home,Sony,2006,2017,87400000.0
11122,Sentimental Graffiti: First Window,Sega Saturn,1997,Adventure,NEC Interchannel,0.0,0.0,80000.0,0.0,0.08,Home,Sega,1994,2000,9260000.0
11123,Gekijouban Madoka Magicka: The Battle Pentagram,PlayStation 5,2013,Action,Namco Bandai Games,0.0,0.0,80000.0,0.0,0.08,Home,Sony,2020,0,30000000.0
11124,Cartoon Network Collection: Game Boy Advance Video Volume 2,Game Boy Advance,2004,Misc,Unknown,60000.0,20000.0,0.0,0.0,0.08,Handheld,Nintendo,2001,2010,81510000.0
11125,Sherlock Holmes: Crimes & Punishments,Xbox One,2014,Adventure,Focus Home Interactive,30000.0,40000.0,0.0,10000.0,0.08,Home,Microsoft,2013,2020,58500000.0
11126,Tempest 3X,PlayStation,1995,Shooter,Interplay,40000.0,30000.0,0.0,10000.0,0.08,Home,Sony,1994,2006,102490000.0
11127,A-Train,PlayStation,1995,Simulation,Sony Computer Entertainment,20000.0,10000.0,40000.0,10000.0,0.08,Home,Sony,1994,2006,102490000.0
11128,Hidden Invasion,PlayStation 2,2001,Shooter,Swing! Entertainment,40000.0,30000.0,0.0,10000.0,0.08,Home,Sony,2000,2013,155000000.0
11129,My Friends,Nintendo DS,2009,Misc,Oxygen Interactive,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11130,World Series of Poker 2008: Battle for the Bracelets,Xbox 360,2007,Misc,Activision,60000.0,10000.0,0.0,10000.0,0.08,Home,Microsoft,2005,2016,84000000.0
11131,Superman: Shadow of Apokolips,GameCube,2003,Action,Atari,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,2001,2007,21740000.0
